Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
rails-ruby	1.5 ms	0.0%	99.6 ms	14480.0 ms	2,587,952
flask-nginx-uWSGI	1.9 ms	0.0%	34.3 ms	1250.0 ms	2,150,376
bottle-nginx-uWSGI	1.9 ms	0.0%	38.6 ms	1620.0 ms	2,142,174
start	4.5 ms	0.1%	3.6 ms	25.2 ms	992,485
ur/web	96.9 ms	1.6%	57.9 ms	228.1 ms	14
hhvm	102.8 ms	1.7%	10.1 ms	163.8 ms	0
undertow	115.8 ms	1.9%	32.4 ms	792.4 ms	0
cpoll_cppsp-raw	117.7 ms	1.9%	47.9 ms	584.2 ms	0
gemini	121.1 ms	2.0%	33.3 ms	391.5 ms	0
php-raw	124.2 ms	2.0%	39.2 ms	418.8 ms	0
servlet-raw	124.3 ms	2.0%	36.3 ms	299.8 ms	0
falcore	125.5 ms	2.1%	14.7 ms	191.7 ms	0
ringojs	126.6 ms	2.1%	42.4 ms	804.3 ms	0
go	128.9 ms	2.1%	16.6 ms	204.2 ms	0
revel	129.2 ms	2.1%	16.3 ms	195.0 ms	0
aspnet-stripped-raw	135.2 ms	2.2%	19.9 ms	228.1 ms	0
aspnet-mysql-raw	136.3 ms	2.2%	14.0 ms	238.8 ms	0
undertow	152.4 ms	2.5%	74.2 ms	826.1 ms	0
dart	169.1 ms	2.8%	130.5 ms	742.2 ms	0
revel-qbs	170.9 ms	2.8%	18.5 ms	234.8 ms	0
start	175.8 ms	2.9%	145.6 ms	944.5 ms	0
stream	179.4 ms	2.9%	173.3 ms	1400.0 ms	0
plain	183.2 ms	3.0%	769.0 ms	14920.0 ms	0
servlet-postgres-raw	183.2 ms	3.0%	59.9 ms	443.7 ms	0
nodejs-mysql-raw	188.8 ms	3.1%	101.7 ms	517.7 ms	0
bottle-mysql-raw	197.6 ms	3.2%	52.5 ms	496.4 ms	0
hapi-mysql	204.3 ms	3.4%	34.6 ms	302.3 ms	0
express-mysql	211.2 ms	3.5%	185.2 ms	792.5 ms	0
aspnet-mvc-mono	213.9 ms	3.5%	417.3 ms	7460.0 ms	10,477
aspnet-stripped-raw	234.5 ms	3.8%	399.6 ms	8510.0 ms	0
servicestack	244.7 ms	4.0%	326.7 ms	1790.0 ms	3,179
http-listener	251.7 ms	4.1%	16.6 ms	336.3 ms	0
php-phalcon	275.7 ms	4.5%	166.3 ms	1020.0 ms	13,885
aspnet-postgresql-ra	281.6 ms	4.6%	665.2 ms	10240.0 ms	0
play-scala-anorm	296.9 ms	4.9%	108.1 ms	1890.0 ms	0
phpixie	300.3 ms	4.9%	183.9 ms	1020.0 ms	12,416
play-scala-anorm	300.5 ms	4.9%	88.8 ms	1060.0 ms	0
stream	301.9 ms	4.9%	127.7 ms	619.6 ms	34
flask	331.9 ms	5.4%	113.9 ms	857.8 ms	0
undertow	333.1 ms	5.5%	59.1 ms	899.5 ms	27
http-listener	349.5 ms	5.7%	576.8 ms	8350.0 ms	0
play-slick	378.1 ms	6.2%	70.5 ms	1010.0 ms	0
hapi	392.1 ms	6.4%	335.9 ms	1580.0 ms	0
express-mongodb	404.0 ms	6.6%	200.5 ms	919.7 ms	0
plain-windows	448.2 ms	7.3%	1800.0 ms	14930.0 ms	0
plain-servlet-linux	513.9 ms	8.4%	1780.0 ms	14670.0 ms	0
aspnet-mysql-entityf	554.8 ms	9.1%	79.7 ms	984.9 ms	0
ringojs-conv	650.5 ms	10.7%	418.8 ms	2730.0 ms	2,351
aspnet-postgresql-en	693.4 ms	11.4%	442.4 ms	4530.0 ms	0
flask-pypy	776.0 ms	12.7%	558.6 ms	2900.0 ms	0
flask	795.0 ms	13.0%	220.3 ms	2060.0 ms	1
flask-py3	896.5 ms	14.7%	208.7 ms	2120.0 ms	0
rails-jruby	916.3 ms	15.0%	151.1 ms	1590.0 ms	0
servicestack	920.5 ms	15.1%	311.4 ms	1190.0 ms	176
bottle	992.0 ms	16.3%	266.7 ms	2920.0 ms	16
django-postgresql	1010.0 ms	16.6%	312.7 ms	2290.0 ms	6
django	1030.0 ms	16.9%	251.1 ms	2590.0 ms	3
django-py3	1090.0 ms	17.9%	253.8 ms	2360.0 ms	5
bottle-py3	1120.0 ms	18.4%	296.1 ms	2420.0 ms	29
nodejs-mongodb-raw	1770.0 ms	29.0%	1060.0 ms	3380.0 ms	0
treefrog	1940.0 ms	31.8%	204.9 ms	2510.0 ms	0
bottle-pypy	2060.0 ms	33.8%	2490.0 ms	8700.0 ms	0
aspnet-mvc-mono	2630.0 ms	43.1%	2780.0 ms	10510.0 ms	784
spring	3360.0 ms	55.1%	1610.0 ms	4230.0 ms	57
pyramid-py3	6100.0 ms	100.0%	5670.0 ms	14440.0 ms	0
